"Väestö muuttujina Vuosi, Sukupuoli ja Ikäluokka"

" ";"Sukupuolet yhteensä";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Miehet";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Naiset";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Ikäluokat yhteensä";"0 - 4";"5 - 9";"10 - 14";"15 - 19";"20 - 24";"25 - 29";"30 - 34";"35 - 39";"40 - 44";"45 - 49";"50 - 54";"55 - 59";"60 - 64";"65 - 69";"70 - 74";"75 - 79";"80 - 84";"85 -";"Ikäluokat yhteensä";"0 - 4";"5 - 9";"10 - 14";"15 - 19";"20 - 24";"25 - 29";"30 - 34";"35 - 39";"40 - 44";"45 - 49";"50 - 54";"55 - 59";"60 - 64";"65 - 69";"70 - 74";"75 - 79";"80 - 84";"85 -";"Ikäluokat yhteensä";"0 - 4";"5 - 9";"10 - 14";"15 - 19";"20 - 24";"25 - 29";"30 - 34";"35 - 39";"40 - 44";"45 - 49";"50 - 54";"55 - 59";"60 - 64";"65 - 69";"70 - 74";"75 - 79";"80 - 84";"85 -"
"1865";1843245;264002;196804;183825;170609;161105;138266;124135;122319;111601;95945;77035;58742;54521;41000;25725;11166;4743;1702;898974;132702;98502;91907;84511;79397;67808;60381;59460;54065;46203;36626;27101;24673;18109;10892;4377;1722;538;944271;131300;98302;91918;86098;81708;70458;63754;62859;57536;49742;40409;31641;29848;22891;14833;6789;3021;1164
"1866";1837506;257161;197803;183791;171787;161516;140978;125332;120560;111314;95961;77770;59117;52270;39823;25076;11129;4500;1618;896523;129337;99080;92007;85205;79629;69183;61032;58569;53891;46157;36899;27236;23612;17555;10617;4361;1636;517;940983;127824;98723;91784;86582;81887;71795;64300;61991;57423;49804;40871;31881;28658;22268;14459;6768;2864;1101
"1867";1824198;249224;197998;183004;172266;161269;143128;126022;118295;110568;95583;78193;59252;49792;38475;24322;11046;4236;1525;890290;125403;99248;91721;85546;79529;70278;61431;57425;53489;45915;37021;27258;22446;16922;10296;4326;1541;495;933908;123821;98750;91283;86720;81740;72850;64591;60870;57079;49668;41172;31994;27346;21553;14026;6720;2695;1030
"1868";1727538;230134;189047;173805;164784;153603;138593;120883;110692;104773;90832;75008;56672;45151;35435;22496;10470;3792;1368;838859;115249;94335;86762;81501;75370;67730;58672;53402;50373;43339;35244;25886;20187;15455;9463;4072;1372;447;888679;114885;94712;87043;83283;78233;70863;62211;57290;54400;47493;39764;30786;24964;19980;13033;6398;2420;921
"1869";1739560;225753;191968;175551;167631;155581;142683;123299;110091;105561;91776;76501;57621;43394;34636;22087;10540;3590;1297;845420;113166;95915;87787;83056;76405;69809;59941;53095;50741;43757;35892;26297;19358;15074;9294;4100;1301;432;894140;112587;96053;87764;84575;79176;72874;63358;56996;54820;48019;40609;31324;24036;19562;12793;6440;2289;865
"1870";1768769;223358;196852;179056;172205;159133;148311;126998;110522;107394;93640;78786;59159;41981;34137;21871;10713;3415;1238;860425;112083;98489;89706;85482;78223;72654;61844;53288;51614;44615;36913;26978;18680;14822;9206;4168;1240;420;908344;111275;98363;89350;86723;80910;75657;65154;57234;55780;49025;41873;32181;23301;19315;12665;6545;2175;818
"1871";1803845;234438;196127;182846;173739;161837;149836;130751;113128;107417;95141;80836;61517;43830;33929;22380;11127;3697;1269;878401;117715;98232;91567;86353;79742;73478;63771;54678;51664;45364;37935;28109;19529;14730;9397;4364;1347;426;925444;116723;97895;91279;87386;82095;76358;66980;58450;55753;49777;42901;33408;24301;19199;12983;6763;2350;843
"1872";1834611;244987;194914;186198;174849;164150;150996;134199;115466;107174;96412;82694;63733;45578;33638;22835;11517;3972;1299;894291;123083;97733;93209;87015;81070;74124;65550;55940;51587;46003;38867;29176;20334;14602;9565;4551;1451;431;940320;121904;97181;92989;87834;83080;76872;68649;59526;55587;50409;43827;34557;25244;19036;13270;6966;2521;868
"1873";1859976;254808;193130;189002;175446;165982;151713;137249;117463;106619;97400;84309;65760;47193;33246;23222;11873;4234;1327;907534;128083;96945;94575;87420;82159;74551;67134;57036;51358;46507;39685;30156;21078;14430;9706;4724;1550;437;952442;126725;96185;94427;88026;83823;77162;70115;60427;55261;50893;44624;35604;26115;18816;13516;7149;2684;890
"1874";1886117;264713;191441;191886;176123;167885;152496;140352;119508;106113;98430;85958;67813;48823;32874;23620;12232;4498;1352;921010;133106;96191;95967;87851;83270;74999;68733;58145;51145;47023;40511;31143;21826;14264;9848;4898;1650;440;965107;131607;95250;95919;88272;84615;77497;71619;61363;54968;51407;45447;36670;26997;18610;13772;7334;2848;912
"1875";1912647;274658;189802;194807;176840;169822;153316;143482;121578;105634;99482;87623;69875;50461;32509;24023;12594;4762;1379;934728;138155;95466;97383;88307;84402;75469;70349;59270;50948;47553;41348;32135;22579;14102;9994;5073;1750;445;977919;136503;94336;97424;88533;85420;77847;73133;62308;54686;51929;46275;37740;27882;18407;14029;7521;3012;934
"1876";1942656;277484;202122;190440;181796;169920;156319;143866;126090;105940;98207;89149;71646;52856;34004;23399;12856;5073;1489;949208;139495;101603;95264;90927;84684;76761;70419;61487;51237;46935;41952;32944;23674;14652;9734;5108;1856;476;993448;137989;100519;95176;90869;85236;79558;73447;64603;54703;51272;47197;38702;29182;19352;13665;7748;3217;1013
"1877";1971431;280137;214291;185969;186631;169917;159220;144164;130515;106183;96878;90619;73369;55212;35473;22763;13108;5380;1602;963133;140753;107675;93092;93492;84917;78008;70449;63666;51497;46292;42532;33734;24754;15193;9470;5139;1960;510;1008298;139384;106616;92877;93139;85000;81212;73715;66849;54686;50586;48087;39635;30458;20280;13293;7969;3420;1092
"1878";1994573;280077;231252;175064;188061;171538;160447;145465;134073;110744;93510;91346;75548;58007;37432;21567;13392;5320;1730;975320;141161;116236;87755;93998;85870;78873;71151;65239;53779;44722;42987;34707;25960;16130;8950;5312;1943;547;1019253;138916;115016;87309;94063;85668;81574;74314;68834;56965;48788;48359;40841;32047;21302;12617;8080;3377;1183
"1879";2032669;287178;238050;174613;193763;172121;163053;147660;135795;112289;95878;92604;77507;59820;39797;21205;14007;5446;1883;994419;144867;119591;87607;96628;86377;80366;72165;65986;54619;45889;43613;35775;26788;17237;8736;5575;1993;607;1038250;142311;118459;87006;97135;85744;82687;75495;69809;57670;49989;48991;41732;33032;22560;12469;8432;3453;1276
"1880";2060782;289022;239907;184263;192593;174515;164710;147371;138309;115478;96630;92845;79153;61323;40711;22452;13882;5599;2019;1008243;145739;120300;92487;96186;87216;81605;71995;67404;56064;46250;43726;36627;27488;17634;9313;5498;2092;619;1052539;143283;119607;91776;96407;87299;83105;75376;70905;59414;50380;49119;42526;33835;23077;13139;8384;3507;1400
"1881";2082643;287293;241193;196169;186855;177973;163704;151497;139156;119115;97688;91463;79891;63516;42465;23379;13569;5637;2080;1019517;145128;121023;98215;93435;88894;81486;73832;67863;57839;46920;43067;36922;28521;18603;9618;5378;2115;658;1063126;142165;120170;97954;93420;89079;82218;77665;71293;61276;50768;48396;42969;34995;23862;13761;8191;3522;1422
"1882";2113302;288581;246942;207863;181877;180970;163861;153466;138263;124201;100258;90137;82266;63494;44327;25450;13277;5934;2135;1035165;145789;123962;104292;91027;90298;81508;75041;67447;60302;48217;42462;37975;28657;19486;10596;5226;2225;655;1078137;142792;122980;103571;90850;90672;82353;78425;70816;63899;52041;47675;44291;34837;24841;14854;8051;3709;1480
"1883";2146395;295386;249532;224915;171618;182447;165318;154600;139656;127663;104736;87081;83106;65674;46796;26923;12657;6155;2132;1051790;148729;125330;112972;85983;90928;82331;75907;68189;61833;50485;41145;38476;29690;20529;11318;4970;2315;660;1094605;146657;124202;111943;85635;91519;82987;78693;71467;65830;54251;45936;44630;35984;26267;15605;7687;3840;1472
