"Vuosi"	"Ikaluokat yhteensa"	"0 - 4"	"5 - 9"	"10 - 14"	"15 - 19"	"20 - 24"	"25 - 29"	"30 - 34"	"35 - 39"	"40 - 44"	"45 - 49"	"50 - 54"	"55 - 59"	"60 - 64"	"65 - 69"	"70 - 74"	"75 - 79"	"80 - 84"	"85 -"
"1865"	898974	132702	98502	91907	84511	79397	67808	60381	59460	54065	46203	36626	27101	24673	18109	10892	4377	1722	538
"1866"	896523	129337	99080	92007	85205	79629	69183	61032	58569	53891	46157	36899	27236	23612	17555	10617	4361	1636	517
"1867"	890290	125403	99248	91721	85546	79529	70278	61431	57425	53489	45915	37021	27258	22446	16922	10296	4326	1541	495
"1868"	838859	115249	94335	86762	81501	75370	67730	58672	53402	50373	43339	35244	25886	20187	15455	9463	4072	1372	447
"1869"	845420	113166	95915	87787	83056	76405	69809	59941	53095	50741	43757	35892	26297	19358	15074	9294	4100	1301	432
"1870"	860425	112083	98489	89706	85482	78223	72654	61844	53288	51614	44615	36913	26978	18680	14822	9206	4168	1240	420
"1871"	878401	117715	98232	91567	86353	79742	73478	63771	54678	51664	45364	37935	28109	19529	14730	9397	4364	1347	426
"1872"	894291	123083	97733	93209	87015	81070	74124	65550	55940	51587	46003	38867	29176	20334	14602	9565	4551	1451	431
"1873"	907534	128083	96945	94575	87420	82159	74551	67134	57036	51358	46507	39685	30156	21078	14430	9706	4724	1550	437
"1874"	921010	133106	96191	95967	87851	83270	74999	68733	58145	51145	47023	40511	31143	21826	14264	9848	4898	1650	440
"1875"	934728	138155	95466	97383	88307	84402	75469	70349	59270	50948	47553	41348	32135	22579	14102	9994	5073	1750	445
"1876"	949208	139495	101603	95264	90927	84684	76761	70419	61487	51237	46935	41952	32944	23674	14652	9734	5108	1856	476
"1877"	963133	140753	107675	93092	93492	84917	78008	70449	63666	51497	46292	42532	33734	24754	15193	9470	5139	1960	510
"1878"	975320	141161	116236	87755	93998	85870	78873	71151	65239	53779	44722	42987	34707	25960	16130	8950	5312	1943	547
"1879"	994419	144867	119591	87607	96628	86377	80366	72165	65986	54619	45889	43613	35775	26788	17237	8736	5575	1993	607
"1880"	1008243	145739	120300	92487	96186	87216	81605	71995	67404	56064	46250	43726	36627	27488	17634	9313	5498	2092	619
"1881"	1019517	145128	121023	98215	93435	88894	81486	73832	67863	57839	46920	43067	36922	28521	18603	9618	5378	2115	658
"1882"	1035165	145789	123962	104292	91027	90298	81508	75041	67447	60302	48217	42462	37975	28657	19486	10596	5226	2225	655
"1883"	1051790	148729	125330	112972	85983	90928	82331	75907	68189	61833	50485	41145	38476	29690	20529	11318	4970	2315	660
"1884"	1069125	151203	126918	116012	85963	93674	82517	77293	69142	62464	51170	42156	38976	30575	21096	12071	4850	2381	664
"1885"	1083562	152403	128031	116586	90796	93422	83350	78287	68913	63840	52437	42668	39067	31340	21722	12287	5349	2348	716
"1886"	1098837	154799	128842	117436	96730	90832	85208	78055	70701	64329	54165	43349	38500	31692	22556	12990	5546	2356	751
"1887"	1119149	159214	130698	120389	102783	88586	86730	77824	71906	63941	56395	44514	37963	32604	22714	13638	6164	2274	812
"1888"	1137722	162037	134153	122075	111123	83765	87622	78427	72633	64653	57779	46601	36695	32968	23499	14263	6487	2124	818
"1889"	1155088	163099	136629	123690	114188	83716	90408	78517	73799	65514	58440	47121	37791	33253	24296	14749	6946	2066	866
"1890"	1171541	163478	139054	125727	114769	88356	90198	79468	74529	65372	59760	48186	38369	33451	25083	15307	7160	2394	880
"1891"	1185400	164900	140100	127400	115800	90500	91300	79500	75200	66000	60400	49100	39400	33900	25300	15700	7500	2600	800
"1892"	1191800	165500	140400	128400	116000	91800	91600	79000	75300	66200	60800	49600	40400	34200	25300	15900	7800	2800	800
"1893"	1197700	166200	140900	129400	116000	92900	91800	78400	75600	66400	61000	50100	41200	34400	25400	16400	8000	2800	800
"1894"	1213300	167600	141900	131100	117700	95800	93400	78500	76400	67000	61700	51000	42300	34700	25500	16700	8300	2900	800
"1895"	1230900	169200	143200	133000	119500	98600	94900	78800	77200	67700	62500	51900	43500	35200	25800	17100	8700	3100	1000
"1896"	1246700	170800	144400	134900	120900	101200	96100	78800	77900	68500	63200	52800	44700	35600	26000	17500	9100	3300	1000
"1897"	1266200	172700	145800	137000	123100	104500	98000	79000	78900	69300	64100	53900	45900	36000	26200	17800	9500	3500	1000
"1898"	1288500	175000	147600	139500	125400	108100	100100	79400	80100	70300	65000	55000	47200	36600	26500	18400	9800	3500	1000
"1899"	1300300	176500	148700	141300	126200	109600	100400	78900	80600	70700	65700	55800	48500	37100	26600	18800	10200	3700	1000
"1900"	1310600	177600	149400	142700	127100	111500	100900	78200	80900	71000	66100	56700	49600	37400	26800	19200	10600	3900	1000
"1901"	1321000	178900	149800	143500	130000	111500	100200	82700	78000	72600	65600	57900	49800	38500	27000	19000	10800	4100	1100
"1902"	1325100	181000	152500	141400	131000	110300	99900	86200	74700	73300	64700	58300	49300	39900	27600	18700	10900	4200	1200
"1903"	1336000	180500	157400	140400	131900	112200	100100	92800	69500	73600	64800	58700	49600	40800	28600	18200	11100	4600	1200
"1904"	1354500	183400	161500	141500	132500	114300	101300	94900	69100	75900	64600	59400	50100	41000	29000	18800	11100	4800	1300
"1905"	1362600	184900	161900	144300	132800	114900	101200	93900	72200	74900	64900	59300	49500	41600	29600	19100	11300	4900	1400
"1906"	1376300	187200	165200	145000	133900	118000	101300	93300	76300	72000	66000	58500	50500	41600	30400	19300	11300	5000	1500
"1907"	1393300	190500	167500	147900	133000	121200	102600	95000	80700	69500	66900	57700	50900	41100	31500	19700	11000	5100	1500
"1908"	1417500	193400	168100	153100	133600	124100	106500	96900	88100	65300	67500	58000	51300	41400	32300	20500	10700	5100	1600
"1909"	1431700	197100	170400	156800	135200	124000	107100	96700	89300	64400	68900	57300	51700	41600	32300	20800	11200	5100	1800
"1910"	1444500	200000	173000	157200	139200	124700	107400	96700	88300	67500	67600	57400	51500	41100	32900	21300	11500	5200	2000
"1911"	1463900	200600	175400	161500	139700	125800	111600	97200	88600	71900	65400	59000	51100	42200	33200	21900	11700	5200	1900
"1912"	1482200	201100	179000	164700	142400	124400	114200	98400	90300	76300	63200	60400	50500	42900	32700	22900	11900	5100	1800
"1913"	1490300	199400	182500	165700	146800	123000	114300	99400	90000	81900	58100	60700	50200	43100	32900	23400	12300	4800	1800
"1914"	1507200	197600	185400	168100	150600	124400	114600	100900	90600	83700	58000	63000	50000	44100	33100	23600	12600	5100	1800
"1915"	1520600	194600	187800	170000	152500	127900	115000	102300	91600	83400	61500	62700	50600	44200	32900	24000	12700	5100	1800
"1916"	1530300	188900	189000	172400	156200	128600	115800	105300	91400	83300	65800	60500	51900	43700	33700	23900	12900	5200	1800
