"Vuosi"	"min_ika"	"max_ika"	"Ikaluokat_yhteensa"	"ikaluokka"
1865	"85"	"120"	1843245	1702
1866	"85"	"120"	1837506	1618
1867	"85"	"120"	1824198	1525
1868	"85"	"120"	1727538	1368
1869	"85"	"120"	1739560	1297
1870	"85"	"120"	1768769	1238
1871	"85"	"120"	1803845	1269
1872	"85"	"120"	1834611	1299
1873	"85"	"120"	1859976	1327
1874	"85"	"120"	1886117	1352
1875	"85"	"120"	1912647	1379
1876	"85"	"120"	1942656	1489
1877	"85"	"120"	1971431	1602
1878	"85"	"120"	1994573	1730
1879	"85"	"120"	2032669	1883
1880	"85"	"120"	2060782	2019
1881	"85"	"120"	2082643	2080
1882	"85"	"120"	2113302	2135
1883	"85"	"120"	2146395	2132
1884	"85"	"120"	2180547	2105
1885	"85"	"120"	2207518	2250
1886	"85"	"120"	2238572	2358
1887	"85"	"120"	2278140	2568
1888	"85"	"120"	2314179	2498
1889	"85"	"120"	2347702	2606
1890	"85"	"120"	2380140	2674
1891	"85"	"120"	2408300	2500
1892	"85"	"120"	2422500	2600
1893	"85"	"120"	2436700	2700
1894	"85"	"120"	2465700	2700
1895	"85"	"120"	2499900	2900
1896	"85"	"120"	2530900	2900
1897	"85"	"120"	2567500	2900
1898	"85"	"120"	2610300	3000
1899	"85"	"120"	2635300	3100
1900	"85"	"120"	2655900	3100
1901	"85"	"120"	2678500	3300
1902	"85"	"120"	2693900	3600
1903	"85"	"120"	2717100	3700
1904	"85"	"120"	2751900	3900
1905	"85"	"120"	2773000	4100
1906	"85"	"120"	2803700	4500
1907	"85"	"120"	2838700	4500
1908	"85"	"120"	2883000	4700
1909	"85"	"120"	2914800	5000
1910	"85"	"120"	2943400	5400
1911	"85"	"120"	2980000	5300
1912	"85"	"120"	3015500	5200
1913	"85"	"120"	3035800	5200
1914	"85"	"120"	3069500	5200
1915	"85"	"120"	3096300	5200
1916	"85"	"120"	3114200	5200
1917	"85"	"120"	3134300	4900
1918	"85"	"120"	3115300	4700
1919	"85"	"120"	3118000	4900
1920	"85"	"120"	3147600	5700
1921	"85"	"120"	3193200	5700
1922	"85"	"120"	3227800	5700
1923	"85"	"120"	3258600	6000
1924	"85"	"120"	3286200	6000
1925	"85"	"120"	3322100	6600
1926	"85"	"120"	3355200	6900
1927	"85"	"120"	3380600	7300
1928	"85"	"120"	3412100	7900
1929	"85"	"120"	3435300	8400
1930	"85"	"120"	3462700	9100
1931	"85"	"120"	3489600	8900
1932	"85"	"120"	3516000	8900
1933	"85"	"120"	3536600	9200
1934	"85"	"120"	3561600	9500
1935	"85"	"120"	3589600	9900
1936	"85"	"120"	3612400	10200
1937	"85"	"120"	3640200	10800
1938	"85"	"120"	3672100	11200
1939	"85"	"120"	3699700	11500
1940	"85"	"120"	3695617	10872
1941	"85"	"120"	3707815	10922
1942	"85"	"120"	3708801	10913
1943	"85"	"120"	3732532	11058
1944	"85"	"120"	3737096	10970
1945	"85"	"120"	3778890	11190
1946	"85"	"120"	3833072	11417
1947	"85"	"120"	3885284	11258
1948	"85"	"120"	3937840	11194
1949	"85"	"120"	3987996	10642
1950	"85"	"120"	4029803	9463
1951	"85"	"120"	4064727	9088
1952	"85"	"120"	4116228	8950
1953	"85"	"120"	4162609	8414
1954	"85"	"120"	4211191	9064
1955	"85"	"120"	4258571	9686
1956	"85"	"120"	4304832	10180
1957	"85"	"120"	4343190	10770
1958	"85"	"120"	4376314	11212
1959	"85"	"120"	4413046	11936
1960	"85"	"120"	4446222	12429
1961	"85"	"120"	4475787	12665
1962	"85"	"120"	4507098	12554
1963	"85"	"120"	4539519	12687
1964	"85"	"120"	4557567	13093
1965	"85"	"120"	4569896	13306
1966	"85"	"120"	4591842	13408
1967	"85"	"120"	4619645	13953
1968	"85"	"120"	4633292	14618
1969	"85"	"120"	4614277	15192
1970	"85"	"120"	4598336	15782
1971	"85"	"120"	4625912	16587
1972	"85"	"120"	4653401	17596
1973	"85"	"120"	4678761	18474
1974	"85"	"120"	4702387	19122
1975	"85"	"120"	4720492	20103
1976	"85"	"120"	4730836	21484
1977	"85"	"120"	4746967	22760
1978	"85"	"120"	4758088	24037
1979	"85"	"120"	4771292	25913
1980	"85"	"120"	4787778	27737
1981	"85"	"120"	4812150	29692
1982	"85"	"120"	4841715	32189
1983	"85"	"120"	4869858	34968
1984	"85"	"120"	4893748	37855
1985	"85"	"120"	4910664	39698
1986	"85"	"120"	4925644	42440
1987	"85"	"120"	4938602	44874
1988	"85"	"120"	4954359	47053
1989	"85"	"120"	4974383	49703
1990	"85"	"120"	4998478	51943
1991	"85"	"120"	5029002	54970
1992	"85"	"120"	5054982	58048
1993	"85"	"120"	5077912	60301
1994	"85"	"120"	5098754	63959
1995	"85"	"120"	5116826	67018
1996	"85"	"120"	5132320	69867
1997	"85"	"120"	5147349	72714
1998	"85"	"120"	5159646	74922
1999	"85"	"120"	5171302	77056
2000	"85"	"120"	5181115	78395
2001	"85"	"120"	5194901	79660
2002	"85"	"120"	5206295	80945
2003	"85"	"120"	5219732	82659
2004	"85"	"120"	5236611	83075
2005	"85"	"120"	5255580	88589
2006	"85"	"120"	5276955	93744
2007	"85"	"120"	5300484	98292
2008	"85"	"120"	5326314	103797
2009	"85"	"120"	5351427	108691
2010	"85"	"120"	5375276	114160
2011	"85"	"120"	5401267	119103
2012	"85"	"120"	5426674	123584
1865	"10"	"14"	1843245	183825
1866	"10"	"14"	1837506	183791
1867	"10"	"14"	1824198	183004
1868	"10"	"14"	1727538	173805
1869	"10"	"14"	1739560	175551
1870	"10"	"14"	1768769	179056
1871	"10"	"14"	1803845	182846
1872	"10"	"14"	1834611	186198
1873	"10"	"14"	1859976	189002
1874	"10"	"14"	1886117	191886
1875	"10"	"14"	1912647	194807
1876	"10"	"14"	1942656	190440
1877	"10"	"14"	1971431	185969
1878	"10"	"14"	1994573	175064
1879	"10"	"14"	2032669	174613
1880	"10"	"14"	2060782	184263
1881	"10"	"14"	2082643	196169
1882	"10"	"14"	2113302	207863
1883	"10"	"14"	2146395	224915
1884	"10"	"14"	2180547	231017
1885	"10"	"14"	2207518	232424
1886	"10"	"14"	2238572	233988
1887	"10"	"14"	2278140	239653
1888	"10"	"14"	2314179	242749
1889	"10"	"14"	2347702	246362
1890	"10"	"14"	2380140	250217
1891	"10"	"14"	2408300	253500
1892	"10"	"14"	2422500	255400
1893	"10"	"14"	2436700	257400
1894	"10"	"14"	2465700	260700
1895	"10"	"14"	2499900	264300
1896	"10"	"14"	2530900	268000
1897	"10"	"14"	2567500	272100
1898	"10"	"14"	2610300	276800
1899	"10"	"14"	2635300	280200
1900	"10"	"14"	2655900	282900
1901	"10"	"14"	2678500	284600
1902	"10"	"14"	2693900	280700
1903	"10"	"14"	2717100	277800
1904	"10"	"14"	2751900	280100
1905	"10"	"14"	2773000	286000
1906	"10"	"14"	2803700	287400
1907	"10"	"14"	2838700	292700
1908	"10"	"14"	2883000	303700
1909	"10"	"14"	2914800	311100
1910	"10"	"14"	2943400	311700
1911	"10"	"14"	2980000	319600
1912	"10"	"14"	3015500	325700
1913	"10"	"14"	3035800	327300
1914	"10"	"14"	3069500	332000
1915	"10"	"14"	3096300	336300
1916	"10"	"14"	3114200	341200
1917	"10"	"14"	3134300	348300
1918	"10"	"14"	3115300	354400
1919	"10"	"14"	3118000	359600
1920	"10"	"14"	3147600	362800
1921	"10"	"14"	3193200	365900
1922	"10"	"14"	3227800	366700
1923	"10"	"14"	3258600	363900
1924	"10"	"14"	3286200	359000
1925	"10"	"14"	3322100	351500
1926	"10"	"14"	3355200	342500
1927	"10"	"14"	3380600	334400
1928	"10"	"14"	3412100	329800
1929	"10"	"14"	3435300	315100
1930	"10"	"14"	3462700	319900
1931	"10"	"14"	3489600	328600
1932	"10"	"14"	3516000	333300
1933	"10"	"14"	3536600	340900
1934	"10"	"14"	3561600	355500
1935	"10"	"14"	3589600	352400
1936	"10"	"14"	3612400	349500
1937	"10"	"14"	3640200	347700
1938	"10"	"14"	3672100	344900
1939	"10"	"14"	3699700	344400
1940	"10"	"14"	3695617	340504
1941	"10"	"14"	3707815	338210
1942	"10"	"14"	3708801	334544
1943	"10"	"14"	3732532	325646
1944	"10"	"14"	3737096	319716
1945	"10"	"14"	3778890	315167
1946	"10"	"14"	3833072	313339
1947	"10"	"14"	3885284	315385
1948	"10"	"14"	3937840	324382
1949	"10"	"14"	3987996	332715
1950	"10"	"14"	4029803	329078
1951	"10"	"14"	4064727	348194
1952	"10"	"14"	4116228	340181
1953	"10"	"14"	4162609	341116
1954	"10"	"14"	4211191	343974
1955	"10"	"14"	4258571	374650
1956	"10"	"14"	4304832	392192
1957	"10"	"14"	4343190	435893
1958	"10"	"14"	4376314	466408
1959	"10"	"14"	4413046	489632
1960	"10"	"14"	4446222	492178
1961	"10"	"14"	4475787	479852
1962	"10"	"14"	4507098	469664
1963	"10"	"14"	4539519	455546
1964	"10"	"14"	4557567	444659
1965	"10"	"14"	4569896	435402
1966	"10"	"14"	4591842	432183
1967	"10"	"14"	4619645	423583
1968	"10"	"14"	4633292	414568
1969	"10"	"14"	4614277	406068
1970	"10"	"14"	4598336	397946
1971	"10"	"14"	4625912	390916
1972	"10"	"14"	4653401	387100
1973	"10"	"14"	4678761	388333
1974	"10"	"14"	4702387	386406
1975	"10"	"14"	4720492	382810
1976	"10"	"14"	4730836	378715
1977	"10"	"14"	4746967	375674
1978	"10"	"14"	4758088	367915
1979	"10"	"14"	4771292	356276
1980	"10"	"14"	4787778	345100
1981	"10"	"14"	4812150	332337
1982	"10"	"14"	4841715	318137
1983	"10"	"14"	4869858	304473
1984	"10"	"14"	4893748	301526
1985	"10"	"14"	4910664	303344
1986	"10"	"14"	4925644	308733
1987	"10"	"14"	4938602	315649
1988	"10"	"14"	4954359	323585
1989	"10"	"14"	4974383	325775
1990	"10"	"14"	4998478	324891
1991	"10"	"14"	5029002	323331
1992	"10"	"14"	5054982	325034
1993	"10"	"14"	5077912	328667
1994	"10"	"14"	5098754	330599
1995	"10"	"14"	5116826	330257
1996	"10"	"14"	5132320	327420
1997	"10"	"14"	5147349	321264
1998	"10"	"14"	5159646	317898
1999	"10"	"14"	5171302	316104
2000	"10"	"14"	5181115	318634
2001	"10"	"14"	5194901	323018
2002	"10"	"14"	5206295	329351
