Country_Name,Country_Code,Indicator_Name,Indicator_Code,Value
Afghanistan,AFG,"death_rate",SP.DYN.CDRT.IN,9.386
Afghanistan,AFG,"population",SP.POP.TOTL,27032197
Afghanistan,AFG,"cause_communicable",SH.DTH.COMM.ZS,62.87112505
Afghanistan,AFG,"cause_injury",SH.DTH.INJR.ZS,8.251511404
Afghanistan,AFG,"cause_non_communicable",SH.DTH.NCOM.ZS,28.87737039
Albania,ALB,"death_rate",SP.DYN.CDRT.IN,6.321
Albania,ALB,"population",SP.POP.TOTL,3156608
Albania,ALB,"cause_communicable",SH.DTH.COMM.ZS,5.215170534
Albania,ALB,"cause_injury",SH.DTH.INJR.ZS,5.340603318
Albania,ALB,"cause_non_communicable",SH.DTH.NCOM.ZS,89.44423694
Algeria,DZA,"death_rate",SP.DYN.CDRT.IN,5.666
Algeria,DZA,"population",SP.POP.TOTL,35725377
Algeria,DZA,"cause_communicable",SH.DTH.COMM.ZS,29.60781776
Algeria,DZA,"cause_injury",SH.DTH.INJR.ZS,7.674624104
Algeria,DZA,"cause_non_communicable",SH.DTH.NCOM.ZS,62.7175754
American Samoa,ASM,"death_rate",SP.DYN.CDRT.IN,
American Samoa,ASM,"population",SP.POP.TOTL,57053
American Samoa,ASM,"cause_communicable",SH.DTH.COMM.ZS,
American Samoa,ASM,"cause_injury",SH.DTH.INJR.ZS,
American Samoa,ASM,"cause_non_communicable",SH.DTH.NCOM.ZS,
Andorra,ADO,"death_rate",SP.DYN.CDRT.IN,2.8
Andorra,ADO,"population",SP.POP.TOTL,79969
Andorra,ADO,"cause_communicable",SH.DTH.COMM.ZS,4.148903983
Andorra,ADO,"cause_injury",SH.DTH.INJR.ZS,4.395103603
Andorra,ADO,"cause_non_communicable",SH.DTH.NCOM.ZS,91.45597795
Angola,AGO,"death_rate",SP.DYN.CDRT.IN,15.565
Angola,AGO,"population",SP.POP.TOTL,18314441
Angola,AGO,"cause_communicable",SH.DTH.COMM.ZS,68.7309751
Angola,AGO,"cause_injury",SH.DTH.INJR.ZS,6.729148952
Angola,AGO,"cause_non_communicable",SH.DTH.NCOM.ZS,24.53988817
Antigua and Barbuda,ATG,"death_rate",SP.DYN.CDRT.IN,6.353
Antigua and Barbuda,ATG,"population",SP.POP.TOTL,85349
Antigua and Barbuda,ATG,"cause_communicable",SH.DTH.COMM.ZS,12.98445194
Antigua and Barbuda,ATG,"cause_injury",SH.DTH.INJR.ZS,6.677605396
Antigua and Barbuda,ATG,"cause_non_communicable",SH.DTH.NCOM.ZS,80.33794266
Argentina,ARG,"death_rate",SP.DYN.CDRT.IN,7.738
Argentina,ARG,"population",SP.POP.TOTL,39676083
Argentina,ARG,"cause_communicable",SH.DTH.COMM.ZS,13.62609856
Argentina,ARG,"cause_injury",SH.DTH.INJR.ZS,6.286809199
Argentina,ARG,"cause_non_communicable",SH.DTH.NCOM.ZS,80.08707985
Armenia,ARM,"death_rate",SP.DYN.CDRT.IN,8.549
Armenia,ARM,"population",SP.POP.TOTL,2977488
Armenia,ARM,"cause_communicable",SH.DTH.COMM.ZS,5.639257645
Armenia,ARM,"cause_injury",SH.DTH.INJR.ZS,4.145048927
Armenia,ARM,"cause_non_communicable",SH.DTH.NCOM.ZS,90.21570059
Aruba,ABW,"death_rate",SP.DYN.CDRT.IN,7.629
Aruba,ABW,"population",SP.POP.TOTL,101344
Aruba,ABW,"cause_communicable",SH.DTH.COMM.ZS,
Aruba,ABW,"cause_injury",SH.DTH.INJR.ZS,
Aruba,ABW,"cause_non_communicable",SH.DTH.NCOM.ZS,
Australia,AUS,"death_rate",SP.DYN.CDRT.IN,6.6
Australia,AUS,"population",SP.POP.TOTL,21384400
Australia,AUS,"cause_communicable",SH.DTH.COMM.ZS,4.400142857
Australia,AUS,"cause_injury",SH.DTH.INJR.ZS,5.591783937
Australia,AUS,"cause_non_communicable",SH.DTH.NCOM.ZS,90.00810235
Austria,AUT,"death_rate",SP.DYN.CDRT.IN,9
Austria,AUT,"population",SP.POP.TOTL,8336926
Austria,AUT,"cause_communicable",SH.DTH.COMM.ZS,2.891799773
Austria,AUT,"cause_injury",SH.DTH.INJR.ZS,5.652676106
Austria,AUT,"cause_non_communicable",SH.DTH.NCOM.ZS,91.45552006
Azerbaijan,AZE,"death_rate",SP.DYN.CDRT.IN,6.2
Azerbaijan,AZE,"population",SP.POP.TOTL,8763400
Azerbaijan,AZE,"cause_communicable",SH.DTH.COMM.ZS,10.64505303
Azerbaijan,AZE,"cause_injury",SH.DTH.INJR.ZS,4.008129625
Azerbaijan,AZE,"cause_non_communicable",SH.DTH.NCOM.ZS,85.34680962
"Bahamas, The",BHS,"death_rate",SP.DYN.CDRT.IN,5.787
"Bahamas, The",BHS,"population",SP.POP.TOTL,348340
"Bahamas, The",BHS,"cause_communicable",SH.DTH.COMM.ZS,16.37042597
"Bahamas, The",BHS,"cause_injury",SH.DTH.INJR.ZS,10.12257735
"Bahamas, The",BHS,"cause_non_communicable",SH.DTH.NCOM.ZS,73.50704136
Bahrain,BHR,"death_rate",SP.DYN.CDRT.IN,2.348
Bahrain,BHR,"population",SP.POP.TOTL,1116038
Bahrain,BHR,"cause_communicable",SH.DTH.COMM.ZS,10.07862054
Bahrain,BHR,"cause_injury",SH.DTH.INJR.ZS,10.709604
Bahrain,BHR,"cause_non_communicable",SH.DTH.NCOM.ZS,79.21179286
Bangladesh,BGD,"death_rate",SP.DYN.CDRT.IN,6.091
Bangladesh,BGD,"population",SP.POP.TOTL,147969967
Bangladesh,BGD,"cause_communicable",SH.DTH.COMM.ZS,37.71457623
