Country_Name,Country_Code,Indicator_Name,Indicator_Code,2008
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.386
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27032197
Afghanistan,AFG,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,62.87112505
Afghanistan,AFG,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,8.251511404
Afghanistan,AFG,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,28.87737039
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.321
Albania,ALB,"Population, total",SP.POP.TOTL,3156608
Albania,ALB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,5.215170534
Albania,ALB,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,5.340603318
Albania,ALB,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,89.44423694
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.666
Algeria,DZA,"Population, total",SP.POP.TOTL,35725377
Algeria,DZA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,29.60781776
Algeria,DZA,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,7.674624104
Algeria,DZA,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,62.7175754
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,
American Samoa,ASM,"Population, total",SP.POP.TOTL,57053
American Samoa,ASM,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,
American Samoa,ASM,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,
American Samoa,ASM,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,
Andorra,ADO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.8
Andorra,ADO,"Population, total",SP.POP.TOTL,79969
Andorra,ADO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,4.148903983
Andorra,ADO,"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS,4.395103603
Andorra,ADO,"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS,91.45597795
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.565
Angola,AGO,"Population, total",SP.POP.TOTL,18314441
Angola,AGO,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,68.7309751
