#	Pvm	Kello	Ottelu	Tulos	JA/VL	Lisätiedot	Yleisöä
1.	To 10.09.	18:30	HPK - TPS	1-2	JA	Maalit | Kokoonpanot | Seuranta	3706
2.		18:30	Jokerit - HIFK	4-1		Maalit | Kokoonpanot | Seuranta	11512
3.		18:30	JYP - KalPa	1-4		Maalit | Kokoonpanot | Seuranta	4618
4.		18:30	SaiPa - Kärpät	4-0		Maalit | Kokoonpanot | Seuranta	3753
5.		18:30	Tappara - Ilves	2-5		Maalit | Kokoonpanot | Seuranta	6878
6.	Pe 11.09.	18:30	Ässät - Lukko	1-6		Maalit | Kokoonpanot | Seuranta	6109
7.	La 12.09.	17:00	Blues - Kärpät	2-3		Maalit | Kokoonpanot | Seuranta	4072
8.		17:00	HIFK - HPK	2-1		Maalit | Kokoonpanot | Seuranta	5737
9.		18:30	Ilves - Ässät	3-1		Maalit | Kokoonpanot | Seuranta	5992
10.		17:00	KalPa - Tappara	4-2		Maalit | Kokoonpanot | Seuranta	4797
11.		17:00	Lukko - SaiPa	6-2		Maalit | Kokoonpanot | Seuranta	3393
12.		17:00	Pelicans - JYP	2-0		Maalit | Kokoonpanot | Seuranta	4133
13.		17:00	TPS - Jokerit	4-1		Maalit | Kokoonpanot | Seuranta	7094
14.	Ti 15.09.	18:30	HIFK - SaiPa	3-1		Maalit | Kokoonpanot | Seuranta	4518
15.		18:30	Jokerit - KalPa	3-2	VL	Maalit | Kokoonpanot | Seuranta	6042
16.	To 17.09.	18:30	Jokerit - Lukko	0-5		Maalit | Kokoonpanot | Seuranta	6193
17.		18:30	JYP - Blues	3-6		Maalit | Kokoonpanot | Seuranta	3370
18.		18:30	Kärpät - KalPa	1-3		Maalit | Kokoonpanot | Seuranta	5378
19.		18:30	SaiPa - HPK	4-0		Maalit | Kokoonpanot | Seuranta	3058
20.		18:30	Tappara - Pelicans	3-1		Maalit | Kokoonpanot | Seuranta	4100
21.		18:30	TPS - Ilves	2-4		Maalit | Kokoonpanot | Seuranta	5359
22.	Pe 18.09.	18:30	Ässät - HIFK	3-4	JA	Maalit | Kokoonpanot | Seuranta	3840
23.	La 19.09.	17:00	Blues - Ässät	2-3	VL	Maalit | Kokoonpanot | Seuranta	3712
24.		17:00	HPK - Tappara	6-1		Maalit | Kokoonpanot | Seuranta	3369
25.		17:00	Ilves - JYP	4-1		Maalit | Kokoonpanot | Seuranta	6652
26.		17:00	KalPa - SaiPa	5-1		Maalit | Kokoonpanot | Seuranta	4632
27.		17:00	Kärpät - Jokerit	4-3	VL	Maalit | Kokoonpanot | Seuranta	5845
28.		17:00	Lukko - HIFK	4-2		Maalit | Kokoonpanot | Seuranta	4176
29.		18:30	Pelicans - TPS	2-10		Maalit | Kokoonpanot | Seuranta	3874
30.	Ti 22.09.	18:30	JYP - HPK	3-0		Maalit | Kokoonpanot | Seuranta	3345
31.		18:30	Pelicans - Lukko	3-7		Maalit | Kokoonpanot | Seuranta	3250
32.		18:30	TPS - Blues	3-2		Maalit | Kokoonpanot | Seuranta	5349
33.		18:30	Ässät - Tappara	1-4		Maalit | Kokoonpanot | Seuranta	3525
34.	To 24.09.	18:30	HIFK - Blues	7-0		Maalit | Kokoonpanot | Seuranta	5629
35.		18:30	HPK - Pelicans	4-0		Maalit | Kokoonpanot | Seuranta	3140
36.		18:30	KalPa - Ilves	3-1		Maalit | Kokoonpanot | Seuranta	4396
37.		18:30	Kärpät - Ässät	1-2	JA	Maalit | Kokoonpanot | Seuranta	5022
38.		18:30	Lukko - JYP	4-2		Maalit | Kokoonpanot | Seuranta	3802
39.		18:30	Tappara - Jokerit	5-1		Maalit | Kokoonpanot | Seuranta	4687
40.		18:30	TPS - SaiPa	5-2		Maalit | Kokoonpanot | Seuranta	5317
41.	Pe 25.09.	18:30	JYP - HIFK	3-4		Maalit | Kokoonpanot | Seuranta	3665
42.	La 26.09.	17:00	Blues - HPK	1-2		Maalit | Kokoonpanot | Seuranta	3683
